
"Line Number","Newark<br />Part Number","Qty","Product Description","Manufacturer Name &amp; Part Number","RoHS","Price","Avail","Extended Price","Line note"
"1","58K2469","2","LED Lamp","VISHAY SEMICONDUCTOR - TLHG6400","YES ","0.074","In Stock","0.15","LED - green"

"2","38K0327","19","Carbon Film","MULTICOMP - MCF 0.25W 1K","YES ","0.0080","In Stock","0.15","1k - 250mW - 5%"
"3","38K0340","8","Carbon Film","MULTICOMP - MCF 0.25W 1K5","YES ","0.0080","In Stock","0.06","3k - 0.25W - 5%"

"4","97M4148","1","Multilayer Ceramic Capacitor","MULTICOMP - MCMLR200V100KNPO","YES ","0.074","In Stock","0.07","10pF - 200V - 10%"
"5","18M3533","1","Zener Diode","VISHAY SEMICONDUCTOR - 1N5230B-TR","YESX ","0.022","In Stock","0.02","ZENER 4V7 - 500mW - 20mA"
"6","38K0329","1","Carbon Film","MULTICOMP - MCF 0.25W 100K","YES ","0.0080","In Stock","0.01","100k - 250mW - 5%"
"7","38K0352","2","Carbon Film","MULTICOMP - MCF 0.25W 2K2","YES ","0.0080","In Stock","0.02","2.2k - 250mW - 5%"
"8","59K8561","1","Carbon Film","MULTICOMP - MCCFR01SJ0681A10","YES ","0.027","In Stock","0.03","680R - 1W - 5%"
"","","","","","","","",""
"","","","","","","","Subtotal:","0.51"
"","","","","","","","You Saved:","0.0"
"","","","","","","","Shipping Cost:","Unknown"
"","","","","","","","Your Total Price:","0.51"
"","","","","","","","Tax:","0.0"
"","","","","","","","Total (excl. Tax & Shipping)","0.51"
